./client_with_asio/client_with_asio 2359 120.26.200.117 12333 500 2>/dev/null

10:51.34 70:1	76:1	80:1	75:1	70:1	75:1	71:1	75:1	73:2	70:1	max:80 avrg10:73
10:51.35 69:1	69:1	69:1	74:1	69:2	71:2	70:1	73:2	74:2	68:1	max:74 avrg10:70
10:51.35 72:1	67:1	84:2	73:1	73:1	74:1	75:1	76:1	79:1	71:1	max:84 avrg10:74
10:51.36 78:1	74:1	70:1	69:1	68:1	73:1	69:1	74:2	72:2	74:1	max:78 avrg10:72 max100:145 avrg100:75 avrgall:97
10:51.36 67:1	73:2	71:2	70:2	70:1	71:1	75:2	75:2	87:2	71:1	max:87 avrg10:73 ext_packet_snd:241% ext_size_snd:145%
10:51.37 69:1	84:1	78:1	164:3	126:1	95:1	68:1	68:1	79:2	75:1	max:164 avrg10:90
10:51.37 66:1	71:1	71:2	72:2	72:1	69:2	67:1	71:1	71:2	76:2	max:76 avrg10:70
10:51.38 76:1	72:1	70:1	70:1	74:1	69:1	71:2	70:2	75:1	68:1	max:76 avrg10:71
10:51.38 67:1	74:2	72:2	71:1	138:2	144:3	104:1	73:1	72:1	72:1	max:144 avrg10:88
10:51.39 69:1	67:1	72:1	67:1	73:1	70:1	75:1	89:2	73:1	69:1	max:89 avrg10:72
10:51.39 71:1	72:1	91:2	127:2	77:1	93:1	73:1	213:4	162:1	122:1	max:213 avrg10:110
10:51.40 100:1	70:1	75:1	74:1	70:1	75:1	72:1	73:1	72:1	73:2	max:100 avrg10:75
10:51.40 74:1	68:1	75:1	80:2	76:2	73:1	73:1	154:3	145:2	145:3	max:154 avrg10:96
10:51.41 114:1	68:1	74:1	68:2	158:3	113:2	72:1	102:0	87:1	77:1	max:158 avrg10:93 max100:213 avrg100:84 avrgall:96
10:51.41 74:1	67:1	96:1	70:1	74:1	78:1	75:1	96:1	71:1	77:1	max:96 avrg10:77 ext_packet_snd:241% ext_size_snd:145%
10:51.42 78:1	76:1	97:2	75:1	75:1	77:1	73:1	84:1	88:1	86:1	max:97 avrg10:80
10:51.42 79:1	73:1	74:1	78:1	102:2	80:1	89:1	75:1	73:1	75:1	max:102 avrg10:79 9.8KB/s(in)
10:51.43 78:1	83:1	67:1	79:1	96:2	111:2	71:1	74:1	98:1	71:1	max:111 avrg10:82
10:51.43 77:1	74:1	72:1	76:1	70:1	79:1	76:1	75:1	77:1	77:1	max:79 avrg10:75
10:51.44 75:1	71:1	77:2	77:1	71:1	71:1	70:1	72:1	71:1	72:2	max:77 avrg10:72
10:51.44 76:2	73:1	78:2	72:1	82:2	90:2	72:1	80:1	85:1	73:1	max:90 avrg10:78
10:51.45 186:4	150:1	123:1	97:1	72:1	72:1	73:1	72:1	135:2	85:1	max:186 avrg10:106
10:51.45 74:1	75:2	75:1	70:1	70:2	71:1	75:1	408:4	423:4	372:3	max:423 avrg10:171
10:51.46 328:4	278:3	227:3	177:1	130:1	193:3	169:1	121:1	92:1	199:2	max:328 avrg10:191 max100:423 avrg100:101 avrgall:96
10:51.46 169:1	200:2	169:1	181:1	137:1	96:1	73:1	70:1	73:1	67:1	max:200 avrg10:123 ext_packet_snd:241% ext_size_snd:145%
10:51.47 71:1	71:1	183:4	140:1	124:1	114:1	92:2	156:3	120:1	75:1	max:183 avrg10:114
10:51.47 74:1	68:1	75:1	76:1	74:1	72:1	72:1	68:1	74:2	81:2	max:81 avrg10:73
10:51.48 89:2	83:1	71:1	82:1	71:1	73:1	77:1	98:2	73:1	80:1	max:98 avrg10:79
10:51.48 92:1	70:1	70:1	70:1	70:1	176:3	145:1	124:1	89:1	74:1	max:176 avrg10:98
10:51.49 72:1	73:2	68:1	74:1	90:2	74:2	74:1	88:1	72:1	72:1	max:90 avrg10:75
10:51.49 85:1	83:2	101:2	78:1	76:1	86:1	162:3	120:1	75:1	69:1	max:162 avrg10:93
10:51.50 69:1	68:1	68:1	67:1	67:1	72:1	77:2	77:2	96:2	70:1	max:96 avrg10:73
10:51.50 70:1	71:1	76:1	71:1	74:1	70:1	69:1	74:2	75:2	69:1	max:76 avrg10:71
10:51.51 80:2	70:1	70:1	76:1	78:2	73:1	73:1	74:1	76:2	76:1	max:80 avrg10:74 max100:200 avrg100:87 avrgall:96
10:51.51 77:1	73:1	73:1	235:3	184:2	147:3	126:1	92:1	73:1	69:1	max:235 avrg10:114 ext_packet_snd:241% ext_size_snd:145%
10:51.52 73:1	156:3	124:1	78:1	148:3	122:2	97:1	76:1	72:1	66:1	max:156 avrg10:101
10:51.52 72:1	71:2	71:2	70:1	69:1	75:2	70:1	77:1	80:1	70:1	max:80 avrg10:72 9.8KB/s(in)
10:51.53 73:1	74:1	154:3	125:1	87:1	73:1	66:1	76:2	72:2	71:1	max:154 avrg10:87
10:51.53 74:1	72:1	70:1	71:1	71:1	70:1	72:2	73:2	71:1	71:1	max:74 avrg10:71
